DATE,AAA_BETA0,AAA_BETA1,AAA_BETA2,AAA_BETA3,AAA_TAU1,AAA_TAU2,BBB_BETA0,BBB_BETA1,BBB_BETA2,BBB_BETA3,BBB_TAU1,BBB_TAU2
24.12.2004,4.946400219,-2.91141428,-0.202145839,-1.51082276,3.362607265,3.085703155,5.068109433,-3.078131506,1.034664746,-0.860478879,6.239135576,4.083372648
27.12.2004,4.868212161,-2.825715167,-0.051422872,-1.41386712,3.265719396,2.735150497,4.775596109,-2.768891371,1.892734604,-1.159496768,6.072813282,3.345623492
28.12.2004,4.847342172,-2.726180204,-0.052575542,-1.607226356,3.242539173,2.256267385,4.725536454,-2.71731779,2.04674245,-1.248052827,6.028395752,3.124511842
29.12.2004,4.935447703,-2.901207867,-0.020565347,-1.26017907,3.277059069,2.921444742,4.862755109,-2.871255038,1.796905054,-0.873416807,6.082574136,3.698405411
30.12.2004,4.944607528,-2.919941275,-0.027468787,-1.261582363,3.283035405,2.943815014,4.886871134,-2.898805672,1.792596835,-0.890501084,6.094513254,3.695796625
31.12.2004,4.962170367,-2.960749664,-0.036503384,-1.234622602,3.293290663,3.106724766,5.025358169,-3.054420393,1.293568786,-0.564658301,6.193300306,4.374061144
03.01.2005,4.961704474,-2.890863616,-0.111447412,-1.41593738,3.39599854,2.723281175,4.865419835,-2.884977859,1.816723452,-0.929912477,6.210617731,3.847617902
04.01.2005,4.909715159,-2.913264914,-0.025016808,-1.205345125,3.337923086,3.099315036,4.82662385,-2.848743836,1.825571484,-0.896710432,6.192168305,3.860476892
05.01.2005,4.913796183,-2.911349571,0.009474898,-1.171741663,3.317916796,3.090908306,4.811814498,-2.833411097,1.859759158,-0.818455219,6.163726335,3.892241882
06.01.2005,4.845211052,-2.829890513,0.01724854,-1.295411539,3.33575226,2.579414506,4.677908074,-2.69873347,2.239556421,-1.179171306,6.200863215,3.338745895
07.01.2005,4.814017899,-2.808102927,0.009410162,-1.32054302,3.342847009,2.549312095,4.613650694,-2.63565001,2.317722356,-1.275528994,6.192426419,3.189681035
10.01.2005,4.803629611,-2.812945449,0.027992338,-1.30450033,3.327326706,2.55235203,4.609682954,-2.641890135,2.326665839,-1.256847419,6.185100669,3.202095774
11.01.2005,4.776367349,-2.757959511,0.031849436,-1.289801672,3.321480805,2.572910208,4.616130225,-2.631212658,2.248600202,-1.207127662,6.197872954,3.35371898
12.01.2005,4.78595876,-2.768484624,0.036314886,-1.284450143,3.318726915,2.577994444,4.628417912,-2.641592555,2.258717686,-1.210724844,6.198693842,3.34785914
13.01.2005,4.748980635,-2.729806044,0.037149749,-1.378505907,3.343149112,2.387619794,4.548381671,-2.560518814,2.374534325,-1.38232775,6.191993856,3.038304333
14.01.2005,4.696064955,-2.676103793,0.076342806,-1.324727713,3.311927597,2.404006712,4.490303743,-2.501080935,2.372427977,-1.309052283,6.155910843,3.082372419
17.01.2005,4.666260823,-2.649599467,0.072275974,-1.330649401,3.318275921,2.401858642,4.464981446,-2.48109008,2.351271421,-1.319642244,6.162506277,3.091202873
18.01.2005,4.647502815,-2.630900953,0.116520644,-1.286643744,3.285330117,2.399113728,4.442159692,-2.456837138,2.371796577,-1.250657694,6.129031132,3.119587941
19.01.2005,4.550269374,-2.527259919,0.169583842,-1.298399302,3.258105469,2.293440438,4.336524092,-2.350922008,2.404229136,-1.259479123,6.095837067,3.053460258
20.01.2005,4.627916114,-2.611958134,0.175630571,-1.252196391,3.282444828,2.405516751,4.40546232,-2.414877409,2.418743106,-1.208046815,6.109874424,3.107731561
21.01.2005,4.647069409,-2.625141331,0.178710893,-1.307829107,3.289971747,2.326138622,4.439127827,-2.449774382,2.421777542,-1.251686809,6.130795483,3.081975363
24.01.2005,4.627128237,-2.608948471,0.157666308,-1.341638704,3.308910577,2.310278142,4.419876129,-2.43770372,2.406921477,-1.298954791,6.145095904,3.05405038
25.01.2005,4.537460406,-2.517956109,0.218673341,-1.339889023,3.273920754,2.201084332,4.312037189,-2.328088177,2.451084839,-1.302216411,6.081415663,2.924557746
26.01.2005,4.55309989,-2.542150328,0.274644857,-1.277940239,3.250628835,2.196499176,4.326431442,-2.348388328,2.485921324,-1.200442188,6.048501194,2.952004346
27.01.2005,4.56478023,-2.564200326,0.301722571,-1.188365203,3.224542864,2.30478459,4.388716046,-2.428189804,2.268303257,-0.945475926,6.048851036,3.321884545
28.01.2005,4.567915258,-2.555351766,0.236116365,-1.270057413,3.306912064,2.27695466,4.37039024,-2.399849502,2.293348191,-1.124124617,6.100870526,3.11299639
31.01.2005,4.554783777,-2.541287128,0.24778199,-1.250353857,3.296920923,2.29434702,4.369204278,-2.399545787,2.243613932,-1.072857124,6.095488887,3.184801115
01.02.2005,4.554123353,-2.559091948,0.256810683,-1.227751932,3.288603694,2.325869599,4.365266962,-2.405672418,2.24686026,-1.050709976,6.086506213,3.195533931
02.02.2005,4.497624574,-2.489132188,0.281930411,-1.202425605,3.270426915,2.31968714,4.298424493,-2.33099857,2.243977689,-1.010054101,6.057492113,3.204210757
03.02.2005,4.42589133,-2.404870008,0.404218823,-1.17310543,3.208337856,2.164754618,4.233545599,-2.266047361,2.28110762,-0.893550566,5.987276166,3.226328707
04.02.2005,4.373578342,-2.359425017,0.400297707,-1.1590205,3.267389904,2.177158528,4.193103364,-2.226579785,2.240027895,-0.928463857,6.036556703,3.21759336
07.02.2005,4.2919876,-2.285208659,0.445583409,-1.08391029,3.229143976,2.208406431,4.10304496,-2.136260976,2.233939922,-0.841100502,6.001466977,3.255934696
08.02.2005,4.331690679,-2.329702252,0.373009271,-1.009078438,3.23759975,2.484202934,4.205647275,-2.23785263,1.929682138,-0.643619373,6.058929051,3.641980957
09.02.2005,4.269986027,-2.262479025,0.429601138,-1.090029164,3.264033675,2.295258641,4.095272918,-2.125538928,2.179029611,-0.850425506,6.088922545,3.374993115
10.02.2005,4.290796614,-2.281036445,0.395308872,-1.152856789,3.300136885,2.264535593,4.064067935,-2.089433705,2.322859866,-1.017209862,6.086752287,3.135783348
11.02.2005,4.370626358,-2.355344297,0.373726305,-1.20535152,3.351127541,2.239244994,4.156887633,-2.181106236,2.326624401,-1.07182652,6.134263401,3.120129287
14.02.2005,4.394650391,-2.381372206,0.399289264,-1.164653184,3.345253944,2.27146927,4.222473658,-2.255578831,2.231546371,-0.936402906,6.154893733,3.324068267
15.02.2005,4.400730275,-2.402701778,0.397178483,-1.080667318,3.331669892,2.431900963,4.238661356,-2.276124728,2.142677359,-0.807354268,6.152187147,3.49072801
16.02.2005,4.462987964,-2.472713741,0.250691211,-1.045841642,3.396974491,2.737968844,4.355923617,-2.395846933,1.861531912,-0.737380879,6.236213722,3.772489902
17.02.2005,4.499686954,-2.515592567,0.487366743,-0.990058062,3.459540128,2.467550622,4.305734198,-2.35477688,2.247351184,-0.676337537,6.228164651,3.627896031
18.02.2005,4.568959781,-2.600033272,0.587766985,-0.944447949,3.502703063,2.398992952,4.371318977,-2.433551377,2.356856082,-0.60339289,6.243804467,3.609016703
21.02.2005,4.58598796,-2.614132002,0.596297676,-0.92285487,3.499147064,2.419568877,4.389970276,-2.441464466,2.347453836,-0.586599567,6.244320263,3.622656369
22.02.2005,4.606304023,-2.621706811,0.64915216,-1.022588688,3.52365112,2.272790483,4.420352167,-2.477225054,2.367817919,-0.616280803,6.253644982,3.598608531
23.02.2005,4.614006336,-2.620885207,0.620654533,-1.073718227,3.559630652,2.258666642,4.373086531,-2.418999085,2.580197286,-0.844390135,6.23644593,3.321908672
24.02.2005,4.650509231,-2.654912906,0.624066956,-1.06495039,3.570937349,2.280923602,4.409441239,-2.451605833,2.581092676,-0.824182883,6.242856673,3.338347952
25.02.2005,4.64651845,-2.655135462,0.681114714,-1.00364269,3.532431639,2.279481859,4.401428559,-2.446972655,2.598978533,-0.706893075,6.212275043,3.388898552
28.02.2005,4.621124385,-2.631788385,0.66706295,-1.008671412,3.544823624,2.293140447,4.426652488,-2.481430327,2.366396411,-0.604753605,6.202232743,3.536960316
01.03.2005,4.672198862,-2.683083266,0.664603493,-1.034706617,3.57331001,2.284257287,4.466529752,-2.524124027,2.355614208,-0.608437378,6.207612134,3.537014218
02.03.2005,4.750967005,-2.7614932,0.708861412,-1.048256714,3.625123183,2.237595574,4.487639249,-2.540256499,2.685485321,-0.779917655,6.210559304,3.27805421
03.03.2005,4.772412027,-2.78264974,0.668699308,-1.116324604,3.671144106,2.221054801,4.523606607,-2.581542956,2.663844336,-0.868585676,6.256790293,3.247943853
04.03.2005,4.708419885,-2.707110887,0.701822031,-1.211322892,3.725560369,2.108217316,4.399065981,-2.444087679,2.787289958,-1.04898816,6.224014515,2.915694273
07.03.2005,4.660055043,-2.657663619,0.70922127,-1.237262314,3.772201936,2.08304153,4.362824329,-2.411333595,2.754282579,-1.088150314,6.23412991,2.900139912
08.03.2005,4.700154969,-2.695757285,0.739581078,-1.259878002,3.784695374,2.046323862,4.382604964,-2.425451561,2.804244221,-1.120159886,6.186310468,2.74777133
09.03.2005,4.761603516,-2.756954859,0.810474868,-1.217884132,3.810672945,2.021965499,4.444270175,-2.490363742,2.846372855,-1.028420513,6.183268007,2.74775779
10.03.2005,4.761655664,-2.754827407,0.811838645,-1.24099241,3.821054337,2.01817854,4.452076081,-2.492835479,2.82359296,-1.051005091,6.189663803,2.731386643
11.03.2005,4.804588534,-2.796137627,0.798947235,-1.280508798,3.845422908,2.014299258,4.50617097,-2.548350125,2.814176469,-1.086933846,6.213391267,2.711819628
14.03.2005,4.783805205,-2.784185891,0.829931922,-1.213446491,3.817716878,2.048021602,4.485195663,-2.527196889,2.794752349,-1.002716677,6.178414502,2.741446355
15.03.2005,4.725697166,-2.719615621,0.808082441,-1.207883441,3.885040267,2.071855031,4.442579848,-2.479478037,2.705738592,-1.028047136,6.203169197,2.766853277
16.03.2005,4.691311725,-2.703268428,0.759747493,-0.983662886,3.856156317,2.382045671,4.487830581,-2.532711617,2.344501925,-0.65929029,6.236546323,3.209777411
17.03.2005,4.665729542,-2.665495384,0.734455856,-1.003773728,3.879228472,2.390095394,4.470282831,-2.506521737,2.299533839,-0.687135057,6.260333915,3.21723888
18.03.2005,4.703172942,-2.711724078,0.759545549,-0.948097374,3.881606258,2.431483265,4.504815084,-2.542296421,2.31669818,-0.618230516,6.252941064,3.237827109
21.03.2005,4.67766602,-2.687581,0.78641546,-0.881130991,3.850703599,2.472146046,4.476976847,-2.510179291,2.29777125,-0.526274266,6.222280039,3.276258339
22.03.2005,4.648811883,-2.655239877,0.715053952,-0.832368806,3.89220457,2.6438204,4.526366359,-2.560972431,1.924097446,-0.311054963,6.322548583,3.543144721
23.03.2005,4.655866126,-2.660335062,0.774518526,-0.76898781,3.881790465,2.650047002,4.521250573,-2.550270796,1.956673531,-0.211934349,6.299203524,3.555922935
24.03.2005,4.668642487,-2.667728542,0.686067156,-0.746445214,3.9408368,2.821067482,4.596748634,-2.623925111,1.609483445,-0.034289185,6.419344203,3.682513165
29.03.2005,4.669564675,-2.674392093,0.705107039,-0.729130881,3.932400783,2.824094015,4.613253548,-2.638527844,1.62589807,-0.036679073,6.422604531,3.682645624
30.03.2005,4.683654114,-2.682919302,0.679398772,-0.776992677,3.966024202,2.812249953,4.633403134,-2.656842281,1.625368468,-0.113345069,6.452593839,3.68259826
31.03.2005,4.676646064,-2.690938832,0.645042366,-0.876801465,4.033879768,2.755857473,4.444510985,-2.463925047,2.364419171,-0.769486488,6.387412765,3.385601214
01.04.2005,4.712747733,-2.721437671,0.566876677,-1.02046652,4.140419218,2.700780029,4.472111555,-2.489376435,2.413643505,-1.013312687,6.482592076,3.251846986
04.04.2005,4.618646083,-2.601717027,0.779193581,-1.125689515,4.079049956,2.381592353,4.389700565,-2.404454145,2.530458384,-0.99998795,6.422795082,3.170128078
05.04.2005,4.60739044,-2.590867215,0.776801636,-1.113931171,4.080816885,2.406296517,4.378749956,-2.391697993,2.5194199,-0.994923643,6.427029958,3.189198728
06.04.2005,4.663068854,-2.648737033,0.725278322,-1.150715436,4.130519496,2.477000814,4.431339955,-2.443485028,2.499623565,-1.061094196,6.472515573,3.189834634
07.04.2005,4.686787895,-2.680453454,0.688045965,-1.21375272,4.166639346,2.463415898,4.462859582,-2.485138037,2.478498642,-1.138655159,6.51358272,3.17154794
08.04.2005,4.749901427,-2.740342442,0.66301569,-1.255215299,4.199855422,2.464958379,4.530214971,-2.550023812,2.476895637,-1.191456777,6.550572364,3.161014958
11.04.2005,4.720839751,-2.716997987,0.675015362,-1.255510451,4.195548492,2.444285517,4.479531828,-2.503084287,2.516454347,-1.20910321,6.517569813,3.072714609
12.04.2005,4.681591379,-2.680795935,0.691655347,-1.21419586,4.176464739,2.45936162,4.444661656,-2.469428481,2.506076698,-1.162224406,6.49955693,3.102250189
13.04.2005,4.674603063,-2.671302868,0.643239087,-1.221637718,4.203808979,2.502063918,4.442873198,-2.465915098,2.453164067,-1.183883997,6.531941487,3.139748296
14.04.2005,4.686526431,-2.687929692,0.654182281,-1.214947375,4.198927204,2.490684008,4.471416783,-2.499888428,2.439235282,-1.162662288,6.537847083,3.165197233
15.04.2005,4.69309772,-2.698828123,0.60202463,-1.315787478,4.252356354,2.439427247,4.474149092,-2.504005516,2.431880484,-1.30816159,6.582822188,3.029804648
18.04.2005,4.687252003,-2.707780419,0.614331405,-1.296054435,4.242001051,2.441324849,4.471056866,-2.510171381,2.435446484,-1.291092998,6.575952188,3.03281351
19.04.2005,4.623984337,-2.621124603,0.639139062,-1.387938334,4.265002674,2.257830466,4.39503897,-2.418093903,2.463659924,-1.399514545,6.545143471,2.810256817
20.04.2005,4.629628361,-2.619861122,0.631434142,-1.408374645,4.272169682,2.240637967,4.392532519,-2.411019002,2.458228775,-1.412401759,6.532539978,2.731023785
21.04.2005,4.586590062,-2.555160943,0.769181805,-1.467568993,4.22554577,2.006351111,4.329445302,-2.338130304,2.583488572,-1.411259847,6.438219576,2.488686034
22.04.2005,4.602906823,-2.601177284,0.684021611,-1.400150775,4.266456768,2.195201227,4.375188125,-2.40115966,2.449419256,-1.367362808,6.517138883,2.675350124
